YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,WS10M,ALLSKY_SRF_ALB
2016,1,11,20,20.16,0,3.91,3.39,-999
2016,1,11,21,19.37,0,4.15,3.31,-999
2016,1,11,22,18.62,0,4.27,3.24,-999
2016,1,11,23,17.91,0,4.33,3.17,-999
2016,1,12,0,17.3,0,4.27,3.08,-999
2016,1,12,1,16.76,0,4.21,2.94,-999
2016,1,12,2,16.28,0,4.09,2.78,-999
2016,1,12,3,15.8,0,4.03,2.66,-999
2016,1,12,4,15.42,0,3.91,2.46,-999
2016,1,12,5,15.3,0,3.78,2.13,-999
2016,1,12,6,15.26,0,3.72,1.81,-999
2016,1,12,7,16.4,0,3.66,1.51,0.21
2016,1,12,8,19.35,0,3.6,1.54,0.11
2016,1,12,9,23.15,0,4.03,1.61,0.12
2016,1,12,10,26.91,0,4.52,1.63,0.13
2016,1,12,11,28.83,0,4.64,1.55,0.13
2016,1,12,12,29.99,0,4.7,1.97,0.1
2016,1,12,13,30.57,0,4.88,2.61,0.09
2016,1,12,14,30.59,0,5.07,2.89,0.09
2016,1,12,15,30.05,0,5.13,2.84,0.07
2016,1,12,16,28.44,0,5.19,2.14,0.2
2016,1,12,17,24.44,0,5.31,2.14,0.18
2016,1,12,18,22.46,0,5.43,2.61,-999
2016,1,12,19,21.2,0,5.55,2.95,-999
2016,1,12,20,20.28,0,5.68,3.17,-999
2016,1,12,21,19.52,0,5.74,3.2,-999
2016,1,12,22,18.84,0,5.74,3.22,-999
2016,1,12,23,18.21,0,5.74,3.23,-999
2016,1,13,0,17.62,0,5.68,3.26,-999
2016,1,13,1,17.04,0,5.55,3.19,-999
2016,1,13,2,16.39,0,5.37,3.02,-999
2016,1,13,3,15.86,0,5.25,2.93,-999
2016,1,13,4,15.45,0,5.07,2.89,-999
2016,1,13,5,15.05,0,4.94,2.85,-999
2016,1,13,6,14.62,0,4.82,2.76,-999
2016,1,13,7,16.83,0,4.7,2.85,0.2
2016,1,13,8,20.02,0,4.64,2.9,0.12
2016,1,13,9,24.66,0,5.43,2.84,0.13
2016,1,13,10,27.95,0,6.41,2.71,0.13
2016,1,13,11,29.44,0,6.47,1.78,0.16
2016,1,13,12,30.4,0,6.29,1.22,0.16
2016,1,13,13,30.9,0,6.1,1.27,0.13
2016,1,13,14,30.89,0,5.92,1.78,0.12
2016,1,13,15,30.27,0,5.8,1.92,0.12
2016,1,13,16,28.95,0,5.68,1.77,0.19
2016,1,13,17,25.41,0,5.68,1.73,0.18
2016,1,13,18,23.39,0,5.74,2.26,-999
2016,1,13,19,21.79,0,5.74,2.72,-999
2016,1,13,20,20.71,0,5.74,3.09,-999
2016,1,13,21,19.85,0,5.74,3.18,-999
2016,1,13,22,19.1,0,5.68,3.19,-999
2016,1,13,23,18.37,0,5.55,3.13,-999
2016,1,14,0,17.65,0,5.43,3.06,-999
2016,1,14,1,16.96,0,5.25,2.91,-999
2016,1,14,2,16.4,0,5.13,2.75,-999
2016,1,14,3,15.89,0,5,2.78,-999
2016,1,14,4,15.41,0,4.88,2.81,-999
2016,1,14,5,14.96,0,4.82,2.83,-999
2016,1,14,6,14.53,0,4.7,2.88,-999
2016,1,14,7,16.65,0,4.64,3.25,0.2
2016,1,14,8,19.57,0,4.58,3.41,0.07
2016,1,14,9,23.72,0,4.76,2.37,0.09
2016,1,14,10,27.78,0,5.62,1.12,0.1
2016,1,14,11,29.31,0,5.8,1.17,0.12
2016,1,14,12,30.19,0,5.86,1.59,0.12
2016,1,14,13,30.61,0,5.86,1.9,0.12
2016,1,14,14,30.61,0,5.8,2.22,0.11
2016,1,14,15,30.02,0,5.74,2.49,0.09
2016,1,14,16,28.6,0,5.62,2.43,0.19
2016,1,14,17,24.24,0,5.49,2.59,0.18
2016,1,14,18,22.52,0,5.25,3.16,-999
2016,1,14,19,21.9,0,5,3.69,-999
2016,1,14,20,21.26,0,4.7,4.37,-999
2016,1,14,21,20.47,0,4.39,4.74,-999
2016,1,14,22,19.54,0,4.21,4.78,-999
2016,1,14,23,18.63,0,3.97,4.63,-999
2016,1,15,0,17.74,0,3.85,4.47,-999
2016,1,15,1,16.89,0,3.72,4.38,-999
2016,1,15,2,15.8,0,3.6,3.58,-999
2016,1,15,3,14.82,0,3.54,3.04,-999
2016,1,15,4,14.04,0,3.48,2.77,-999
2016,1,15,5,13.4,0,3.36,2.59,-999
2016,1,15,6,12.83,0,3.3,2.46,-999
2016,1,15,7,14.12,0,3.3,3.48,0.21
2016,1,15,8,16.69,0,3.23,2.55,0.05
2016,1,15,9,21.11,0,3.36,2.74,0.09
2016,1,15,10,25.41,0,3.78,2.14,0.12
2016,1,15,11,28.4,0,4.33,1,0.11
2016,1,15,12,29.78,0,4.58,0.87,0.11
